Year,Price(USD)
1990,932341422
1991,958827721
1992,1123167430
1993,1355415740
1994,1569985942
1995,1502132047
1996,1751876179
1997,2085998896
1998,2318408347
1999,2674922422
2000,2730715141
2001,2752338005
2002,3273248826
2003,3846310973
2004,4648012934
2005,5267388979
2006,4748742617
2007,4309615366
2008,3663841217
2009,3532919537
2010,3683338000
2011,3856564451
2012,4753925594
2013,6176373713
2014,7009560068
2015,8598093635
2016,9860406495
2017,11250459108
2018,12548977866
2019,13746941849
2020,12466699671
